tissue,mode,f1
Breast,approx,0.8696785872810033
Breast,gt,0.8688545603830258
Breast,gt,0.8678969240107703
Breast,gt,0.8691375981576236
Breast,gt,0.8684871855226175
Breast,gt,0.8683157681709918
Breast,gt,0.8684798582034137
Breast,gt,0.8693074073625093
Breast,gt,0.8681822508762062
Breast,gt,0.8684316057304055
Breast,approx,0.8709640874589328
Breast,gt,0.8688545603830258
Breast,gt,0.8688912630538187
Breast,gt,0.8696250704347449
Breast,gt,0.8682249533831042
Breast,gt,0.8692173268467058
Breast,gt,0.8689177783285297
Breast,gt,0.8701176870429809
Breast,gt,0.8699749581914442
Breast,gt,0.869350003807625
Breast,approx,0.8696525204015938
Breast,gt,0.8678969240107703
Breast,gt,0.8688912630538187
Breast,gt,0.8694338185657661
Breast,gt,0.8680430242958898
Breast,gt,0.8687952582182353
Breast,gt,0.8685270545243138
Breast,gt,0.8694754991742462
Breast,gt,0.8688973857679199
Breast,gt,0.8688899908940584
Breast,approx,0.8707358547106827
Breast,gt,0.8691375981576236
Breast,gt,0.8696250704347449
Breast,gt,0.8694338185657661
Breast,gt,0.8698041267295037
Breast,gt,0.8689773376499714
Breast,gt,0.8698177080626327
Breast,gt,0.8695546665372429
Breast,gt,0.8692737314032692
Breast,gt,0.8703419520592383
Breast,approx,0.8700702318364589
Breast,gt,0.8684871855226175
Breast,gt,0.8682249533831042
Breast,gt,0.8680430242958898
Breast,gt,0.8698041267295037
Breast,gt,0.8678771853623336
Breast,gt,0.8683839127234946
Breast,gt,0.8688063619116921
Breast,gt,0.8679511221236976
Breast,gt,0.8689583138788879
Breast,approx,0.8697262395795262
Breast,gt,0.8683157681709918
Breast,gt,0.8692173268467058
Breast,gt,0.8687952582182353
Breast,gt,0.8689773376499714
Breast,gt,0.8678771853623336
Breast,gt,0.8689462535304868
Breast,gt,0.8690535968445148
Breast,gt,0.8683371692595221
Breast,gt,0.868313219488337
Breast,approx,0.8695370489701943
Breast,gt,0.8684798582034137
Breast,gt,0.8689177783285297
Breast,gt,0.8685270545243138
Breast,gt,0.8698177080626327
Breast,gt,0.8683839127234946
Breast,gt,0.8689462535304868
Breast,gt,0.8697381872368444
Breast,gt,0.8689204212888724
Breast,gt,0.8693349751564718
Breast,approx,0.8704747898573958
Breast,gt,0.8693074073625093
Breast,gt,0.8701176870429809
Breast,gt,0.8694754991742462
Breast,gt,0.8695546665372429
Breast,gt,0.8688063619116921
Breast,gt,0.8690535968445148
Breast,gt,0.8697381872368444
Breast,gt,0.8693985889919192
Breast,gt,0.8694285976305048
Breast,approx,0.8700211761100043
Breast,gt,0.8681822508762062
Breast,gt,0.8699749581914442
Breast,gt,0.8688973857679199
Breast,gt,0.8692737314032692
Breast,gt,0.8679511221236976
Breast,gt,0.8683371692595221
Breast,gt,0.8689204212888724
Breast,gt,0.8693985889919192
Breast,gt,0.8684495862623538
Breast,approx,0.8702209622859727
Breast,gt,0.8684316057304055
Breast,gt,0.869350003807625
Breast,gt,0.8688899908940584
Breast,gt,0.8703419520592383
Breast,gt,0.8689583138788879
Breast,gt,0.868313219488337
Breast,gt,0.8693349751564718
Breast,gt,0.8694285976305048
Breast,gt,0.8684495862623538
Kidney,approx,0.8331336317424828
Kidney,gt,0.8266772220223102
Kidney,gt,0.8236921619687999
Kidney,gt,0.8244887027939203
Kidney,gt,0.8228709123781199
Kidney,gt,0.8252642132085718
Kidney,gt,0.8250922616032534
Kidney,gt,0.8243391713669005
Kidney,gt,0.8239329841719957
Kidney,gt,0.8256261570841623
Kidney,approx,0.8362504427471044
Kidney,gt,0.8266772220223102
Kidney,gt,0.8272602221484594
Kidney,gt,0.8287068853029447
Kidney,gt,0.8268026841920016
Kidney,gt,0.8293096121127909
Kidney,gt,0.8303157133863408
Kidney,gt,0.8276199051459276
Kidney,gt,0.8284299870921122
Kidney,gt,0.829584724928101
Kidney,approx,0.8335797794625612
Kidney,gt,0.8236921619687999
Kidney,gt,0.8272602221484594
Kidney,gt,0.8268313088970314
Kidney,gt,0.824760412654309
Kidney,gt,0.8273202007601033
Kidney,gt,0.826742882794384
Kidney,gt,0.8252771824401335
Kidney,gt,0.8258342573313965
Kidney,gt,0.8271847813007859
Kidney,approx,0.8346131623170124
Kidney,gt,0.8244887027939203
Kidney,gt,0.8287068853029447
Kidney,gt,0.8268313088970314
Kidney,gt,0.8260524500650792
Kidney,gt,0.8285213091491576
Kidney,gt,0.8283344267074859
Kidney,gt,0.826634022240949
Kidney,gt,0.8269179200186545
Kidney,gt,0.8283590530354662
Kidney,approx,0.8329269559137787
Kidney,gt,0.8228709123781199
Kidney,gt,0.8268026841920016
Kidney,gt,0.824760412654309
Kidney,gt,0.8260524500650792
Kidney,gt,0.8260969360135696
Kidney,gt,0.8264448905236531
Kidney,gt,0.825250410195061
Kidney,gt,0.8254392655080516
Kidney,gt,0.8265688299996538
Kidney,approx,0.8354209197931436
Kidney,gt,0.8252642132085718
Kidney,gt,0.8293096121127909
Kidney,gt,0.8273202007601033
Kidney,gt,0.8285213091491576
Kidney,gt,0.8260969360135696
Kidney,gt,0.82966078582648
Kidney,gt,0.8281851264996256
Kidney,gt,0.8274793222750819
Kidney,gt,0.8293273101545398
Kidney,approx,0.8365475421610893
Kidney,gt,0.8250922616032534
Kidney,gt,0.8303157133863408
Kidney,gt,0.826742882794384
Kidney,gt,0.8283344267074859
Kidney,gt,0.8264448905236531
Kidney,gt,0.82966078582648
Kidney,gt,0.8283027973016908
Kidney,gt,0.829023969341744
Kidney,gt,0.8294678723639947
Kidney,approx,0.8337729551703351
Kidney,gt,0.8243391713669005
Kidney,gt,0.8276199051459276
Kidney,gt,0.8252771824401335
Kidney,gt,0.826634022240949
Kidney,gt,0.825250410195061
Kidney,gt,0.8281851264996256
Kidney,gt,0.8283027973016908
Kidney,gt,0.8265743214389298
Kidney,gt,0.827112351810898
Kidney,approx,0.8345386878158977
Kidney,gt,0.8239329841719957
Kidney,gt,0.8284299870921122
Kidney,gt,0.8258342573313965
Kidney,gt,0.8269179200186545
Kidney,gt,0.8254392655080516
Kidney,gt,0.8274793222750819
Kidney,gt,0.829023969341744
Kidney,gt,0.8265743214389298
Kidney,gt,0.8283456168419581
Kidney,approx,0.8358462137749064
Kidney,gt,0.8256261570841623
Kidney,gt,0.829584724928101
Kidney,gt,0.8271847813007859
Kidney,gt,0.8283590530354662
Kidney,gt,0.8265688299996538
Kidney,gt,0.8293273101545398
Kidney,gt,0.8294678723639947
Kidney,gt,0.827112351810898
Kidney,gt,0.8283456168419581
Testis,approx,0.8927812627950712
Testis,gt,0.888381701185189
Testis,gt,0.8888300762258748
Testis,gt,0.8896231430257217
Testis,gt,0.8874212970846971
Testis,gt,0.8899267080730842
Testis,gt,0.8904778579265589
Testis,gt,0.8895179521547356
Testis,gt,0.8884499685189935
Testis,gt,0.8893206014451215
Testis,approx,0.8900790172976857
Testis,gt,0.888381701185189
Testis,gt,0.8872130964535477
Testis,gt,0.8875881413151017
Testis,gt,0.885311698011359
Testis,gt,0.8879394147539743
Testis,gt,0.8875532023879373
Testis,gt,0.8874383067412615
Testis,gt,0.8866547893718368
Testis,gt,0.8874253156509052
Testis,approx,0.890459024498255
Testis,gt,0.8888300762258748
Testis,gt,0.8872130964535477
Testis,gt,0.8881058748995143
Testis,gt,0.8861752064575495
Testis,gt,0.8883824861318821
Testis,gt,0.8883711063347678
Testis,gt,0.8878049800678772
Testis,gt,0.8868908729327055
Testis,gt,0.8879098176696836
Testis,approx,0.8914284909222403
Testis,gt,0.8896231430257217
Testis,gt,0.8875881413151017
Testis,gt,0.8881058748995143
Testis,gt,0.88665606021167
Testis,gt,0.8891627457118694
Testis,gt,0.888943398827024
Testis,gt,0.8883067164074835
Testis,gt,0.8873987349378613
Testis,gt,0.8884719187765069
Testis,approx,0.8887487620063409
Testis,gt,0.8874212970846971
Testis,gt,0.885311698011359
Testis,gt,0.8861752064575495
Testis,gt,0.88665606021167
Testis,gt,0.886756918441052
Testis,gt,0.8864424014291779
Testis,gt,0.8866028513475029
Testis,gt,0.8852105358798615
Testis,gt,0.8867082753544923
Testis,approx,0.8914315339069728
Testis,gt,0.8899267080730842
Testis,gt,0.8879394147539743
Testis,gt,0.8883824861318821
Testis,gt,0.8891627457118694
Testis,gt,0.886756918441052
Testis,gt,0.8893782332025174
Testis,gt,0.8887640344877324
Testis,gt,0.8876923561139548
Testis,gt,0.8885711417652785
Testis,approx,0.8920181516003458
Testis,gt,0.8904778579265589
Testis,gt,0.8875532023879373
Testis,gt,0.8883711063347678
Testis,gt,0.888943398827024
Testis,gt,0.8864424014291779
Testis,gt,0.8893782332025174
Testis,gt,0.8891597853662395
Testis,gt,0.8880167110008649
Testis,gt,0.8888048508616816
Testis,approx,0.8914321389489043
Testis,gt,0.8895179521547356
Testis,gt,0.8874383067412615
Testis,gt,0.8878049800678772
Testis,gt,0.8883067164074835
Testis,gt,0.8866028513475029
Testis,gt,0.8887640344877324
Testis,gt,0.8891597853662395
Testis,gt,0.887809559885524
Testis,gt,0.888250528799503
Testis,approx,0.8899811017238086
Testis,gt,0.8884499685189935
Testis,gt,0.8866547893718368
Testis,gt,0.8868908729327055
Testis,gt,0.8873987349378613
Testis,gt,0.8852105358798615
Testis,gt,0.8876923561139548
Testis,gt,0.8880167110008649
Testis,gt,0.887809559885524
Testis,gt,0.8871752120558487
Testis,approx,0.8909025638378496
Testis,gt,0.8893206014451215
Testis,gt,0.8874253156509052
Testis,gt,0.8879098176696836
Testis,gt,0.8884719187765069
Testis,gt,0.8867082753544923
Testis,gt,0.8885711417652785
Testis,gt,0.8888048508616816
Testis,gt,0.888250528799503
Testis,gt,0.8871752120558487
