	Top N Predictions	True Positives	Precision	comparison	thresholds	dataset	data_configuration
7	3	1	0.3333333333333333	$\alpha$=0.05 (BH-adj)	7.0	data_6	5_sources
8	3	1	0.3333333333333333	$\alpha$=0.05 (BH-adj)	8.0	data_6	5_sources
9	4	1	0.25	$\alpha$=0.05 (BH-adj)	9.0	data_6	5_sources
10	4	1	0.25	$\alpha$=0.05 (BH-adj)	10.0	data_6	5_sources
11	6	3	0.5	$\alpha$=0.05 (BH-adj)	15.0	data_6	5_sources
12	9	4	0.4444444444444444	$\alpha$=0.05 (BH-adj)	20.0	data_6	5_sources
13	23	8	0.34782608695652173	$\alpha$=0.05 (BH-adj)	50.0	data_6	5_sources
14	34	8	0.23529411764705882	$\alpha$=0.05 (BH-adj)	75.0	data_6	5_sources
15	46	10	0.21739130434782608	$\alpha$=0.05 (BH-adj)	100.0	data_6	5_sources
0	0	0	0.0	unfiltered	0.5	data_6	5_sources
1	1	0	0.0	unfiltered	1.0	data_6	5_sources
2	2	0	0.0	unfiltered	2.0	data_6	5_sources
3	4	1	0.25	unfiltered	3.0	data_6	5_sources
4	5	2	0.4	unfiltered	4.0	data_6	5_sources
5	7	3	0.42857142857142855	unfiltered	5.0	data_6	5_sources
6	8	4	0.5	unfiltered	6.0	data_6	5_sources
7	10	4	0.4	unfiltered	7.0	data_6	5_sources
8	11	5	0.45454545454545453	unfiltered	8.0	data_6	5_sources
9	13	7	0.5384615384615384	unfiltered	9.0	data_6	5_sources
10	14	7	0.5	unfiltered	10.0	data_6	5_sources
11	21	8	0.38095238095238093	unfiltered	15.0	data_6	5_sources
12	29	8	0.27586206896551724	unfiltered	20.0	data_6	5_sources
13	72	12	0.16666666666666666	unfiltered	50.0	data_6	5_sources
14	108	14	0.12962962962962962	unfiltered	75.0	data_6	5_sources
15	145	17	0.11724137931034483	unfiltered	100.0	data_6	5_sources
0	0	0	0.0	$\alpha$=0.05	0.5	data_7	5_sources
1	1	1	1.0	$\alpha$=0.05	1.0	data_7	5_sources
2	2	2	1.0	$\alpha$=0.05	2.0	data_7	5_sources
3	3	3	1.0	$\alpha$=0.05	3.0	data_7	5_sources
4	5	3	0.6	$\alpha$=0.05	4.0	data_7	5_sources
5	6	3	0.5	$\alpha$=0.05	5.0	data_7	5_sources
6	7	3	0.42857142857142855	$\alpha$=0.05	6.0	data_7	5_sources
7	9	4	0.4444444444444444	$\alpha$=0.05	7.0	data_7	5_sources
8	10	4	0.4	$\alpha$=0.05	8.0	data_7	5_sources
9	11	5	0.45454545454545453	$\alpha$=0.05	9.0	data_7	5_sources
10	13	6	0.46153846153846156	$\alpha$=0.05	10.0	data_7	5_sources
11	19	8	0.42105263157894735	$\alpha$=0.05	15.0	data_7	5_sources
12	26	9	0.34615384615384615	$\alpha$=0.05	20.0	data_7	5_sources
13	66	17	0.25757575757575757	$\alpha$=0.05	50.0	data_7	5_sources
14	99	21	0.21212121212121213	$\alpha$=0.05	75.0	data_7	5_sources
15	132	27	0.20454545454545456	$\alpha$=0.05	100.0	data_7	5_sources
0	0	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_7	5_sources
1	0	0	0.0	$\alpha$=0.05 (BH-adj)	1.0	data_7	5_sources
2	0	0	0.0	$\alpha$=0.05 (BH-adj)	2.0	data_7	5_sources
3	0	0	0.0	$\alpha$=0.05 (BH-adj)	3.0	data_7	5_sources
4	1	1	1.0	$\alpha$=0.05 (BH-adj)	4.0	data_7	5_sources
5	1	1	1.0	$\alpha$=0.05 (BH-adj)	5.0	data_7	5_sources
6	1	1	1.0	$\alpha$=0.05 (BH-adj)	6.0	data_7	5_sources
7	2	2	1.0	$\alpha$=0.05 (BH-adj)	7.0	data_7	5_sources
8	2	2	1.0	$\alpha$=0.05 (BH-adj)	8.0	data_7	5_sources
9	2	2	1.0	$\alpha$=0.05 (BH-adj)	9.0	data_7	5_sources
10	3	3	1.0	$\alpha$=0.05 (BH-adj)	10.0	data_7	5_sources
11	4	3	0.75	$\alpha$=0.05 (BH-adj)	15.0	data_7	5_sources
12	6	3	0.5	$\alpha$=0.05 (BH-adj)	20.0	data_7	5_sources
13	16	8	0.5	$\alpha$=0.05 (BH-adj)	50.0	data_7	5_sources
14	24	9	0.375	$\alpha$=0.05 (BH-adj)	75.0	data_7	5_sources
15	32	10	0.3125	$\alpha$=0.05 (BH-adj)	100.0	data_7	5_sources
0	1	1	1.0	unfiltered	0.5	data_7	5_sources
1	3	3	1.0	unfiltered	1.0	data_7	5_sources
2	7	3	0.42857142857142855	unfiltered	2.0	data_7	5_sources
3	11	5	0.45454545454545453	unfiltered	3.0	data_7	5_sources
4	15	8	0.5333333333333333	unfiltered	4.0	data_7	5_sources
5	19	8	0.42105263157894735	unfiltered	5.0	data_7	5_sources
6	23	9	0.391304347826087	unfiltered	6.0	data_7	5_sources
7	27	10	0.37037037037037035	unfiltered	7.0	data_7	5_sources
8	31	11	0.3548387096774194	unfiltered	8.0	data_7	5_sources
9	35	11	0.3142857142857143	unfiltered	9.0	data_7	5_sources
10	39	11	0.28205128205128205	unfiltered	10.0	data_7	5_sources
11	59	16	0.2711864406779661	unfiltered	15.0	data_7	5_sources
12	79	19	0.24050632911392406	unfiltered	20.0	data_7	5_sources
13	197	40	0.20304568527918782	unfiltered	50.0	data_7	5_sources
14	296	58	0.19594594594594594	unfiltered	75.0	data_7	5_sources
15	395	69	0.17468354430379746	unfiltered	100.0	data_7	5_sources
0	0	0	0.0	$\alpha$=0.05	0.5	data_8	5_sources
1	0	0	0.0	$\alpha$=0.05	1.0	data_8	5_sources
2	1	0	0.0	$\alpha$=0.05	2.0	data_8	5_sources
3	2	0	0.0	$\alpha$=0.05	3.0	data_8	5_sources
4	3	0	0.0	$\alpha$=0.05	4.0	data_8	5_sources
5	4	1	0.25	$\alpha$=0.05	5.0	data_8	5_sources
6	5	1	0.2	$\alpha$=0.05	6.0	data_8	5_sources
7	6	1	0.16666666666666666	$\alpha$=0.05	7.0	data_8	5_sources
8	6	1	0.16666666666666666	$\alpha$=0.05	8.0	data_8	5_sources
9	7	1	0.14285714285714285	$\alpha$=0.05	9.0	data_8	5_sources
10	8	1	0.125	$\alpha$=0.05	10.0	data_8	5_sources
11	13	2	0.15384615384615385	$\alpha$=0.05	15.0	data_8	5_sources
12	17	3	0.17647058823529413	$\alpha$=0.05	20.0	data_8	5_sources
13	43	8	0.18604651162790697	$\alpha$=0.05	50.0	data_8	5_sources
14	65	10	0.15384615384615385	$\alpha$=0.05	75.0	data_8	5_sources
15	87	12	0.13793103448275862	$\alpha$=0.05	100.0	data_8	5_sources
0	0	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_8	5_sources
1	0	0	0.0	$\alpha$=0.05 (BH-adj)	1.0	data_8	5_sources
2	0	0	0.0	$\alpha$=0.05 (BH-adj)	2.0	data_8	5_sources
3	1	0	0.0	$\alpha$=0.05 (BH-adj)	3.0	data_8	5_sources
4	1	0	0.0	$\alpha$=0.05 (BH-adj)	4.0	data_8	5_sources
5	2	0	0.0	$\alpha$=0.05 (BH-adj)	5.0	data_8	5_sources
6	2	0	0.0	$\alpha$=0.05 (BH-adj)	6.0	data_8	5_sources
7	3	0	0.0	$\alpha$=0.05 (BH-adj)	7.0	data_8	5_sources
8	3	0	0.0	$\alpha$=0.05 (BH-adj)	8.0	data_8	5_sources
9	4	1	0.25	$\alpha$=0.05 (BH-adj)	9.0	data_8	5_sources
10	4	1	0.25	$\alpha$=0.05 (BH-adj)	10.0	data_8	5_sources
11	7	1	0.14285714285714285	$\alpha$=0.05 (BH-adj)	15.0	data_8	5_sources
12	9	1	0.1111111111111111	$\alpha$=0.05 (BH-adj)	20.0	data_8	5_sources
13	24	4	0.16666666666666666	$\alpha$=0.05 (BH-adj)	50.0	data_8	5_sources
14	36	7	0.19444444444444445	$\alpha$=0.05 (BH-adj)	75.0	data_8	5_sources
15	49	8	0.16326530612244897	$\alpha$=0.05 (BH-adj)	100.0	data_8	5_sources
0	0	0	0.0	unfiltered	0.5	data_8	5_sources
1	1	0	0.0	unfiltered	1.0	data_8	5_sources
2	3	0	0.0	unfiltered	2.0	data_8	5_sources
3	5	1	0.2	unfiltered	3.0	data_8	5_sources
4	7	1	0.14285714285714285	unfiltered	4.0	data_8	5_sources
5	9	1	0.1111111111111111	unfiltered	5.0	data_8	5_sources
6	11	1	0.09090909090909091	unfiltered	6.0	data_8	5_sources
7	13	2	0.15384615384615385	unfiltered	7.0	data_8	5_sources
8	15	2	0.13333333333333333	unfiltered	8.0	data_8	5_sources
9	17	3	0.17647058823529413	unfiltered	9.0	data_8	5_sources
10	19	3	0.15789473684210525	unfiltered	10.0	data_8	5_sources
11	29	5	0.1724137931034483	unfiltered	15.0	data_8	5_sources
12	39	8	0.20512820512820512	unfiltered	20.0	data_8	5_sources
13	97	14	0.14432989690721648	unfiltered	50.0	data_8	5_sources
14	146	25	0.17123287671232876	unfiltered	75.0	data_8	5_sources
15	195	29	0.14871794871794872	unfiltered	100.0	data_8	5_sources
0	2	0	0.0	$\alpha$=0.05	0.5	data_9	5_sources
1	4	1	0.25	$\alpha$=0.05	1.0	data_9	5_sources
2	9	2	0.2222222222222222	$\alpha$=0.05	2.0	data_9	5_sources
3	13	4	0.3076923076923077	$\alpha$=0.05	3.0	data_9	5_sources
4	18	7	0.3888888888888889	$\alpha$=0.05	4.0	data_9	5_sources
5	22	10	0.45454545454545453	$\alpha$=0.05	5.0	data_9	5_sources
6	27	11	0.4074074074074074	$\alpha$=0.05	6.0	data_9	5_sources
7	31	14	0.45161290322580644	$\alpha$=0.05	7.0	data_9	5_sources
8	36	15	0.4166666666666667	$\alpha$=0.05	8.0	data_9	5_sources
9	40	17	0.425	$\alpha$=0.05	9.0	data_9	5_sources
10	45	19	0.4222222222222222	$\alpha$=0.05	10.0	data_9	5_sources
11	68	27	0.39705882352941174	$\alpha$=0.05	15.0	data_9	5_sources
12	91	35	0.38461538461538464	$\alpha$=0.05	20.0	data_9	5_sources
13	227	78	0.3436123348017621	$\alpha$=0.05	50.0	data_9	5_sources
14	341	89	0.26099706744868034	$\alpha$=0.05	75.0	data_9	5_sources
15	455	98	0.2153846153846154	$\alpha$=0.05	100.0	data_9	5_sources
0	2	0	0.0	$\alpha$=0.05 (BH-adj)	0.5	data_9	5_sources
1	4	1	0.25	$\alpha$=0.05 (BH-adj)	1.0	data_9	5_sources
2	8	2	0.25	$\alpha$=0.05 (BH-adj)	2.0	data_9	5_sources
3	12	3	0.25	$\alpha$=0.05 (BH-adj)	3.0	data_9	5_sources
4	16	6	0.375	$\alpha$=0.05 (BH-adj)	4.0	data_9	5_sources
5	20	9	0.45	$\alpha$=0.05 (BH-adj)	5.0	data_9	5_sources
6	24	11	0.4583333333333333	$\alpha$=0.05 (BH-adj)	6.0	data_9	5_sources
7	28	12	0.42857142857142855	$\alpha$=0.05 (BH-adj)	7.0	data_9	5_sources
8	32	15	0.46875	$\alpha$=0.05 (BH-adj)	8.0	data_9	5_sources
9	36	15	0.4166666666666667	$\alpha$=0.05 (BH-adj)	9.0	data_9	5_sources
10	41	18	0.43902439024390244	$\alpha$=0.05 (BH-adj)	10.0	data_9	5_sources
11	61	24	0.39344262295081966	$\alpha$=0.05 (BH-adj)	15.0	data_9	5_sources
12	82	32	0.3902439024390244	$\alpha$=0.05 (BH-adj)	20.0	data_9	5_sources
13	205	75	0.36585365853658536	$\alpha$=0.05 (BH-adj)	50.0	data_9	5_sources
14	308	89	0.288961038961039	$\alpha$=0.05 (BH-adj)	75.0	data_9	5_sources
15	411	96	0.23357664233576642	$\alpha$=0.05 (BH-adj)	100.0	data_9	5_sources
0	3	1	0.3333333333333333	unfiltered	0.5	data_9	5_sources
1	6	1	0.16666666666666666	unfiltered	1.0	data_9	5_sources
2	13	4	0.3076923076923077	unfiltered	2.0	data_9	5_sources
3	20	9	0.45	unfiltered	3.0	data_9	5_sources
4	27	11	0.4074074074074074	unfiltered	4.0	data_9	5_sources
5	34	15	0.4411764705882353	unfiltered	5.0	data_9	5_sources
6	41	18	0.43902439024390244	unfiltered	6.0	data_9	5_sources
7	48	21	0.4375	unfiltered	7.0	data_9	5_sources
8	55	21	0.38181818181818183	unfiltered	8.0	data_9	5_sources
9	62	24	0.3870967741935484	unfiltered	9.0	data_9	5_sources
10	69	27	0.391304347826087	unfiltered	10.0	data_9	5_sources
11	104	39	0.375	unfiltered	15.0	data_9	5_sources
12	139	55	0.39568345323741005	unfiltered	20.0	data_9	5_sources
13	347	91	0.2622478386167147	unfiltered	50.0	data_9	5_sources
14	521	110	0.21113243761996162	unfiltered	75.0	data_9	5_sources
15	695	134	0.19280575539568345	unfiltered	100.0	data_9	5_sources
0	2	1	0.5	$\alpha$=0.05	0.5	data_0	10_sources
1	4	1	0.25	$\alpha$=0.05	1.0	data_0	10_sources
2	9	2	0.2222222222222222	$\alpha$=0.05	2.0	data_0	10_sources
3	13	3	0.23076923076923078	$\alpha$=0.05	3.0	data_0	10_sources
4	18	4	0.2222222222222222	$\alpha$=0.05	4.0	data_0	10_sources
5	22	4	0.18181818181818182	$\alpha$=0.05	5.0	data_0	10_sources
6	27	4	0.14814814814814814	$\alpha$=0.05	6.0	data_0	10_sources
7	31	5	0.16129032258064516	$\alpha$=0.05	7.0	data_0	10_sources
8	36	5	0.1388888888888889	$\alpha$=0.05	8.0	data_0	10_sources
9	41	7	0.17073170731707318	$\alpha$=0.05	9.0	data_0	10_sources
10	45	7	0.15555555555555556	$\alpha$=0.05	10.0	data_0	10_sources
11	68	11	0.16176470588235295	$\alpha$=0.05	15.0	data_0	10_sources
12	91	13	0.14285714285714285	$\alpha$=0.05	20.0	data_0	10_sources
13	228	24	0.10526315789473684	$\alpha$=0.05	50.0	data_0	10_sources
14	342	37	0.10818713450292397	$\alpha$=0.05	75.0	data_0	10_sources
15	457	41	0.08971553610503283	$\alpha$=0.05	100.0	data_0	10_sources
0	2	1	0.5	$\alpha$=0.05 (BH-adj)	0.5	data_0	10_sources
1	4	1	0.25	$\alpha$=0.05 (BH-adj)	1.0	data_0	10_sources
2	8	2	0.25	$\alpha$=0.05 (BH-adj)	2.0	data_0	10_sources
3	12	3	0.25	$\alpha$=0.05 (BH-adj)	3.0	data_0	10_sources
4	16	4	0.25	$\alpha$=0.05 (BH-adj)	4.0	data_0	10_sources
5	20	4	0.2	$\alpha$=0.05 (BH-adj)	5.0	data_0	10_sources
6	24	4	0.16666666666666666	$\alpha$=0.05 (BH-adj)	6.0	data_0	10_sources
7	28	4	0.14285714285714285	$\alpha$=0.05 (BH-adj)	7.0	data_0	10_sources
8	32	5	0.15625	$\alpha$=0.05 (BH-adj)	8.0	data_0	10_sources
9	36	5	0.1388888888888889	$\alpha$=0.05 (BH-adj)	9.0	data_0	10_sources
10	40	7	0.175	$\alpha$=0.05 (BH-adj)	10.0	data_0	10_sources
11	60	11	0.18333333333333332	$\alpha$=0.05 (BH-adj)	15.0	data_0	10_sources
12	80	12	0.15	$\alpha$=0.05 (BH-adj)	20.0	data_0	10_sources
13	200	21	0.105	$\alpha$=0.05 (BH-adj)	50.0	data_0	10_sources
14	300	33	0.11	$\alpha$=0.05 (BH-adj)	75.0	data_0	10_sources
15	401	40	0.09975062344139651	$\alpha$=0.05 (BH-adj)	100.0	data_0	10_sources
0	3	1	0.3333333333333333	unfiltered	0.5	data_0	10_sources
1	7	2	0.2857142857142857	unfiltered	1.0	data_0	10_sources
2	15	4	0.26666666666666666	unfiltered	2.0	data_0	10_sources
3	23	4	0.17391304347826086	unfiltered	3.0	data_0	10_sources
4	31	5	0.16129032258064516	unfiltered	4.0	data_0	10_sources
5	39	6	0.15384615384615385	unfiltered	5.0	data_0	10_sources
6	47	8	0.1702127659574468	unfiltered	6.0	data_0	10_sources
7	55	10	0.18181818181818182	unfiltered	7.0	data_0	10_sources
8	63	11	0.1746031746031746	unfiltered	8.0	data_0	10_sources
9	71	12	0.16901408450704225	unfiltered	9.0	data_0	10_sources
10	79	12	0.1518987341772152	unfiltered	10.0	data_0	10_sources
11	118	14	0.11864406779661017	unfiltered	15.0	data_0	10_sources
12	158	19	0.12025316455696203	unfiltered	20.0	data_0	10_sources
13	395	39	0.09873417721518987	unfiltered	50.0	data_0	10_sources
14	592	49	0.08277027027027027	unfiltered	75.0	data_0	10_sources
15	790	58	0.07341772151898734	unfiltered	100.0	data_0	10_sources
0	6	3	0.5	$\alpha$=0.05	0.5	data_1	10_sources
1	12	5	0.4166666666666667	$\alpha$=0.05	1.0	data_1	10_sources
2	24	9	0.375	$\alpha$=0.05	2.0	data_1	10_sources
3	36	10	0.2777777777777778	$\alpha$=0.05	3.0	data_1	10_sources
4	48	13	0.2708333333333333	$\alpha$=0.05	4.0	data_1	10_sources
5	60	14	0.23333333333333334	$\alpha$=0.05	5.0	data_1	10_sources
6	72	18	0.25	$\alpha$=0.05	6.0	data_1	10_sources
7	84	21	0.25	$\alpha$=0.05	7.0	data_1	10_sources
8	96	21	0.21875	$\alpha$=0.05	8.0	data_1	10_sources
9	108	22	0.2037037037037037	$\alpha$=0.05	9.0	data_1	10_sources
10	120	24	0.2	$\alpha$=0.05	10.0	data_1	10_sources
11	181	39	0.2154696132596685	$\alpha$=0.05	15.0	data_1	10_sources
12	241	48	0.1991701244813278	$\alpha$=0.05	20.0	data_1	10_sources
13	604	87	0.14403973509933773	$\alpha$=0.05	50.0	data_1	10_sources
14	906	114	0.12582781456953643	$\alpha$=0.05	75.0	data_1	10_sources
15	1208	134	0.11092715231788079	$\alpha$=0.05	100.0	data_1	10_sources
0	5	3	0.6	$\alpha$=0.05 (BH-adj)	0.5	data_1	10_sources
1	11	4	0.36363636363636365	$\alpha$=0.05 (BH-adj)	1.0	data_1	10_sources
2	23	8	0.34782608695652173	$\alpha$=0.05 (BH-adj)	2.0	data_1	10_sources
3	35	10	0.2857142857142857	$\alpha$=0.05 (BH-adj)	3.0	data_1	10_sources
4	47	12	0.2553191489361702	$\alpha$=0.05 (BH-adj)	4.0	data_1	10_sources
5	58	14	0.2413793103448276	$\alpha$=0.05 (BH-adj)	5.0	data_1	10_sources
6	70	17	0.24285714285714285	$\alpha$=0.05 (BH-adj)	6.0	data_1	10_sources
7	82	21	0.25609756097560976	$\alpha$=0.05 (BH-adj)	7.0	data_1	10_sources
8	94	21	0.22340425531914893	$\alpha$=0.05 (BH-adj)	8.0	data_1	10_sources
9	106	22	0.20754716981132076	$\alpha$=0.05 (BH-adj)	9.0	data_1	10_sources
10	117	24	0.20512820512820512	$\alpha$=0.05 (BH-adj)	10.0	data_1	10_sources
11	176	37	0.21022727272727273	$\alpha$=0.05 (BH-adj)	15.0	data_1	10_sources
12	235	47	0.2	$\alpha$=0.05 (BH-adj)	20.0	data_1	10_sources
13	589	87	0.14770797962648557	$\alpha$=0.05 (BH-adj)	50.0	data_1	10_sources
14	884	112	0.12669683257918551	$\alpha$=0.05 (BH-adj)	75.0	data_1	10_sources
15	1179	131	0.1111111111111111	$\alpha$=0.05 (BH-adj)	100.0	data_1	10_sources
0	7	3	0.42857142857142855	unfiltered	0.5	data_1	10_sources
1	15	6	0.4	unfiltered	1.0	data_1	10_sources
2	31	10	0.3225806451612903	unfiltered	2.0	data_1	10_sources
3	47	12	0.2553191489361702	unfiltered	3.0	data_1	10_sources
4	63	14	0.2222222222222222	unfiltered	4.0	data_1	10_sources
5	79	20	0.25316455696202533	unfiltered	5.0	data_1	10_sources
6	95	21	0.22105263157894736	unfiltered	6.0	data_1	10_sources
7	111	22	0.1981981981981982	unfiltered	7.0	data_1	10_sources
8	127	25	0.1968503937007874	unfiltered	8.0	data_1	10_sources
9	143	28	0.1958041958041958	unfiltered	9.0	data_1	10_sources
10	159	31	0.1949685534591195	unfiltered	10.0	data_1	10_sources
11	238	47	0.19747899159663865	unfiltered	15.0	data_1	10_sources
12	318	58	0.18238993710691823	unfiltered	20.0	data_1	10_sources
13	795	102	0.12830188679245283	unfiltered	50.0	data_1	10_sources
14	1192	132	0.11073825503355705	unfiltered	75.0	data_1	10_sources
15	1590	150	0.09433962264150944	unfiltered	100.0	data_1	10_sources
0	5	1	0.2	$\alpha$=0.05	0.5	data_2	10_sources
1	11	1	0.09090909090909091	$\alpha$=0.05	1.0	data_2	10_sources
2	22	4	0.18181818181818182	$\alpha$=0.05	2.0	data_2	10_sources
3	33	5	0.15151515151515152	$\alpha$=0.05	3.0	data_2	10_sources
4	44	7	0.1590909090909091	$\alpha$=0.05	4.0	data_2	10_sources
5	55	8	0.14545454545454545	$\alpha$=0.05	5.0	data_2	10_sources
6	66	11	0.16666666666666666	$\alpha$=0.05	6.0	data_2	10_sources
7	77	15	0.19480519480519481	$\alpha$=0.05	7.0	data_2	10_sources
8	88	17	0.19318181818181818	$\alpha$=0.05	8.0	data_2	10_sources
9	99	17	0.1717171717171717	$\alpha$=0.05	9.0	data_2	10_sources
10	111	19	0.17117117117117117	$\alpha$=0.05	10.0	data_2	10_sources
11	166	23	0.13855421686746988	$\alpha$=0.05	15.0	data_2	10_sources
12	222	30	0.13513513513513514	$\alpha$=0.05	20.0	data_2	10_sources
13	555	76	0.13693693693693693	$\alpha$=0.05	50.0	data_2	10_sources
14	832	97	0.11658653846153846	$\alpha$=0.05	75.0	data_2	10_sources
15	1110	117	0.10540540540540541	$\alpha$=0.05	100.0	data_2	10_sources
0	5	1	0.2	$\alpha$=0.05 (BH-adj)	0.5	data_2	10_sources
1	10	1	0.1	$\alpha$=0.05 (BH-adj)	1.0	data_2	10_sources
2	21	3	0.14285714285714285	$\alpha$=0.05 (BH-adj)	2.0	data_2	10_sources
3	32	5	0.15625	$\alpha$=0.05 (BH-adj)	3.0	data_2	10_sources
4	42	7	0.16666666666666666	$\alpha$=0.05 (BH-adj)	4.0	data_2	10_sources
5	53	8	0.1509433962264151	$\alpha$=0.05 (BH-adj)	5.0	data_2	10_sources
6	64	10	0.15625	$\alpha$=0.05 (BH-adj)	6.0	data_2	10_sources
7	75	14	0.18666666666666668	$\alpha$=0.05 (BH-adj)	7.0	data_2	10_sources
8	85	17	0.2	$\alpha$=0.05 (BH-adj)	8.0	data_2	10_sources
9	96	17	0.17708333333333334	$\alpha$=0.05 (BH-adj)	9.0	data_2	10_sources
10	107	19	0.17757009345794392	$\alpha$=0.05 (BH-adj)	10.0	data_2	10_sources
11	161	22	0.13664596273291926	$\alpha$=0.05 (BH-adj)	15.0	data_2	10_sources
12	214	29	0.13551401869158877	$\alpha$=0.05 (BH-adj)	20.0	data_2	10_sources
13	537	74	0.1378026070763501	$\alpha$=0.05 (BH-adj)	50.0	data_2	10_sources
14	805	94	0.11677018633540373	$\alpha$=0.05 (BH-adj)	75.0	data_2	10_sources
15	1074	116	0.10800744878957169	$\alpha$=0.05 (BH-adj)	100.0	data_2	10_sources
0	7	1	0.14285714285714285	unfiltered	0.5	data_2	10_sources
1	15	2	0.13333333333333333	unfiltered	1.0	data_2	10_sources
